scenario_id,method,geometry_valid_fraction,jacobian_rank,geometry_valid,failure_reason,redundant,reference_count,condition_number,hull_contains_tag,crlb_crlb_x_m,crlb_crlb_y_m,crlb_crlb_z_m
scenario-000068,UWB_DS_TWR,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000069,UWB_DS_TWR,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000070,UWB_DS_TWR,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000071,UWB_DS_TWR,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000072,TDOA,1.0,3,True,,True,8,4.418356608936134,,0.12625994138554378,0.122586477050703,0.2636079957761487
scenario-000073,TDOA,1.0,3,True,,True,8,4.418356608936134,,0.12625994138554378,0.122586477050703,0.2636079957761487
scenario-000074,TDOA,1.0,3,True,,True,8,4.418356608936134,,0.12625994138554378,0.122586477050703,0.2636079957761487
scenario-000075,TDOA,1.0,3,True,,True,8,4.418356608936134,,0.12625994138554378,0.122586477050703,0.2636079957761487
scenario-000076,SX1280_RANGING,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000077,SX1280_RANGING,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000078,SX1280_RANGING,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000079,SX1280_RANGING,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000080,UWB_SS_TWR,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000081,UWB_SS_TWR,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000082,UWB_SS_TWR,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
